sut,workload,table_size,threads,rep,tps,qps,p95_ms,cpu_sec,mem_peak_mb,datadir_bytes
mysql,oltp_point_select,1000,1,1,10864.21,10864.21,0.28,10.445,500.5,286572351
mysql,oltp_point_select,1000,1,2,11288.60,11288.60,0.27,10.463,500.5,286650087
mysql,oltp_point_select,1000,1,3,9938.93,9938.93,0.33,10.546,500.5,286728315
mysql,oltp_point_select,1000,1,4,10411.45,10411.45,0.30,10.609,500.5,286807035
mysql,oltp_point_select,1000,1,5,11489.56,11489.56,0.25,10.520,500.5,286884279
mysql,oltp_point_select,1000,8,1,29645.21,29645.21,0.42,60.147,500.5,287008755
mysql,oltp_point_select,1000,8,2,28151.49,28151.49,0.46,60.242,500.5,287089443
mysql,oltp_point_select,1000,8,3,31414.53,31414.53,0.39,60.188,500.5,287169639
mysql,oltp_point_select,1000,8,4,31323.14,31323.14,0.39,60.131,500.5,287249835
mysql,oltp_point_select,1000,8,5,31002.66,31002.66,0.39,60.135,500.5,287329539
mysql,oltp_point_select,1000,32,1,27598.33,27598.33,1.01,60.343,500.5,287476647
mysql,oltp_point_select,1000,32,2,27604.75,27604.75,1.01,60.669,500.7,287567667
mysql,oltp_point_select,1000,32,3,28125.15,28125.15,0.99,60.666,501.0,287658195
mysql,oltp_point_select,1000,32,4,27236.27,27236.27,1.03,60.727,501.3,287748231
mysql,oltp_point_select,1000,32,5,27624.61,27624.61,1.03,60.690,501.3,287839743
mysql,oltp_point_select,100000,1,1,14823.76,14823.76,0.14,10.755,857.5,431536285
mysql,oltp_point_select,100000,1,2,13742.87,13742.87,0.17,10.741,857.6,431613529
mysql,oltp_point_select,100000,1,3,12646.39,12646.39,0.22,10.588,857.6,431690281
mysql,oltp_point_select,100000,1,4,12674.73,12674.73,0.20,10.732,858.1,431767525
mysql,oltp_point_select,100000,1,5,14259.73,14259.73,0.16,10.721,858.1,431844769
mysql,oltp_point_select,100000,8,1,29949.65,29949.65,0.42,60.253,858.9,431967769
mysql,oltp_point_select,100000,8,2,29713.15,29713.15,0.42,60.265,859.4,432047965
mysql,oltp_point_select,100000,8,3,30141.98,30141.98,0.41,60.127,859.6,432128161
mysql,oltp_point_select,100000,8,4,30579.67,30579.67,0.39,60.184,859.6,432207865
mysql,oltp_point_select,100000,8,5,29866.79,29866.79,0.41,60.143,859.8,432287569
mysql,oltp_point_select,100000,32,1,27061.24,27061.24,1.03,60.440,862.6,432433201
mysql,oltp_point_select,100000,32,2,26772.13,26772.13,1.01,60.702,863.1,432523729
mysql,oltp_point_select,100000,32,3,26795.24,26795.24,1.04,60.449,863.1,432614749
mysql,oltp_point_select,100000,32,4,26519.45,26519.45,1.04,60.720,863.1,432704293
mysql,oltp_point_select,100000,32,5,27237.30,27237.30,1.03,60.728,863.1,432794329
mysql,oltp_point_select,1000000,1,1,9852.28,9852.28,0.30,10.223,4096.1,1875251819
